Yr,Lg,Series, , ,Team,W, ,Team,W, ,Favorite,Underdog
2013,NBA,Western Conf Finals,"May 19 - May 27, 2013",,San Antonio Spurs (2),,,Memphis Grizzlies (5),,,SAS (-145),MEM (+125)
2013,NBA,Finals,"Jun 6 - Jun 20, 2013",,Miami Heat (1),,,San Antonio Spurs (2),,,MIA (-220),SAS (+180)
,,,,,,,,,,,,
2012,NBA,Eastern Conf First Round,"Apr 28 - May 10, 2012",,Philadelphia 76ers (8),,,Chicago Bulls (1),,,CHI (-1400),PHI (+900)
2012,NBA,Eastern Conf First Round,"Apr 28 - May 9, 2012",,Miami Heat (2),,,New York Knicks (7),,,MIA (-900),NYK (+650)
2012,NBA,Eastern Conf First Round,"Apr 28 - May 8, 2012",,Indiana Pacers (3),,,Orlando Magic (6),,,IND (-800),ORL (+600)
2012,NBA,Eastern Conf First Round,"Apr 29 - May 10, 2012",,Boston Celtics (4),,,Atlanta Hawks (5),,,BOS (-190),ATL (+160)
2012,NBA,Western Conf First Round,"Apr 29 - May 7, 2012",,San Antonio Spurs (1),,,Utah Jazz (8),,,SAS (-2500),UTA (+1450)
2012,NBA,Western Conf First Round,"Apr 28 - May 5, 2012",,Oklahoma City Thunder (2),,,Dallas Mavericks (7),,,OKC (-500),DAL (+400)
2012,NBA,Western Conf First Round,"Apr 29 - May 12, 2012",,Los Angeles Lakers (3),,,Denver Nuggets (6),,,LAL (-240),DEN (+195)
2012,NBA,Western Conf First Round,"Apr 29 - May 13, 2012",,Los Angeles Clippers (5),,,Memphis Grizzlies (4),,,MEM (-200),LAC (+170)
2012,NBA,Eastern Conf Semifinals,"May 13 - May 24, 2012",,Miami Heat (2),,,Indiana Pacers (3),,,MIA (-950),IND (+625)
2012,NBA,Eastern Conf Semifinals,"May 12 - May 26, 2012",,Boston Celtics (4),,,Philadelphia 76ers (8),,,BOS (-205),PHI (+175)
2012,NBA,Western Conf Semifinals,"May 15 - May 20, 2012",,San Antonio Spurs (1),,,Los Angeles Clippers (5),,,SAS (-2500),LAC (+1000)
2012,NBA,Western Conf Semifinals,"May 14 - May 21, 2012",,Oklahoma City Thunder (2),,,Los Angeles Lakers (3),,,OKC (-450),LAL (+350)
2012,NBA,Western Conf Finals,"May 27 - Jun 6, 2012",,Oklahoma City Thunder (2),,,San Antonio Spurs (1),,,SAS (-205),OKC (+175)
2012,NBA,Eastern Conf Finals,"May 28 - Jun 9, 2012",,Miami Heat (2),,,Boston Celtics (4),,,MIA (-530),BOS (+400)
2012,NBA,Finals,"Jun 12 - Jun 21, 2012",,Miami Heat (2),,,Oklahoma City Thunder (2),,,OKC (-175),MIA (+155)
