jump_id,jump_name,jump_team,jump_id_2,jump_name_2,jump_team_2,grab_id,grab_name,grab_team,period,at_time,game_id,WL,height,weight,height_2,weight_2,question,win_jb,lose_jb
203469,Cody Zeller,CHA,202355,Hassan Whiteside,MIA,1627884,Derrick Jones Jr.,MIA,1,12:00,0021800030,W,213.0,109.0,213.0,120.0,False,False,True
203087,Jeremy Lamb,CHA,202355,Hassan Whiteside,MIA,201609,Goran Dragic,MIA,1,8:32,0021800030,W,196.0,82.0,213.0,120.0,False,False,True
203077,Michael Kidd-Gilchrist,CHA,1627884,Derrick Jones Jr.,MIA,202355,Hassan Whiteside,MIA,1,5:02,0021800030,W,198.0,105.0,198.0,95.0,False,False,True
203077,Michael Kidd-Gilchrist,CHA,1628389,Bam Adebayo,MIA,1628389,Bam Adebayo,MIA,1,3:28,0021800030,W,198.0,105.0,206.0,116.0,False,False,True
203469,Cody Zeller,CHA,202355,Hassan Whiteside,MIA,1627884,Derrick Jones Jr.,MIA,3,9:06,0021800030,W,213.0,109.0,213.0,120.0,False,False,True
1628976,Wendell Carter Jr.,CHI,203083,Andre Drummond,DET,202704,Reggie Jackson,DET,1,12:00,0021800031,L,206.0,122.0,208.0,127.0,False,False,True
203083,Andre Drummond,DET,1628976,Wendell Carter Jr.,CHI,202704,Reggie Jackson,DET,1,12:00,0021800031,W,208.0,127.0,206.0,122.0,False,True,False
201599,DeAndre Jordan,DAL,1626157,Karl-Anthony Towns,MIN,1629029,Luka Doncic,DAL,1,12:00,0021800032,W,211.0,120.0,211.0,112.0,False,True,False
1628372,Dennis Smith Jr.,DAL,1626157,Karl-Anthony Towns,MIN,202083,Wesley Matthews,DAL,2,6:16,0021800032,W,188.0,93.0,211.0,112.0,False,True,False
1626157,Karl-Anthony Towns,MIN,201599,DeAndre Jordan,DAL,1629029,Luka Doncic,DAL,1,12:00,0021800032,L,211.0,112.0,211.0,120.0,False,False,True
1626157,Karl-Anthony Towns,MIN,1628372,Dennis Smith Jr.,DAL,202083,Wesley Matthews,DAL,2,6:16,0021800032,L,211.0,112.0,188.0,93.0,False,False,True
203999,Nikola Jokic,DEN,1629028,Deandre Ayton,PHX,201583,Ryan Anderson,PHX,1,12:00,0021800033,W,213.0,129.0,211.0,113.0,False,False,True
1629028,Deandre Ayton,PHX,203999,Nikola Jokic,DEN,201583,Ryan Anderson,PHX,1,12:00,0021800033,L,211.0,113.0,213.0,129.0,False,True,False
203994,Jusuf Nurkic,POR,1627751,Jakob Poeltl,SAS,203081,Damian Lillard,POR,1,12:00,0021800034,W,213.0,132.0,216.0,111.0,False,True,False
1627751,Jakob Poeltl,SAS,203994,Jusuf Nurkic,POR,203081,Damian Lillard,POR,1,12:00,0021800034,L,216.0,111.0,213.0,132.0,False,False,True
201580,JaVale McGee,LAL,203991,Clint Capela,HOU,2544,LeBron James,LAL,1,12:00,0021800035,L,213.0,122.0,208.0,109.0,False,True,False
203991,Clint Capela,HOU,201580,JaVale McGee,LAL,2544,LeBron James,LAL,1,12:00,0021800035,W,208.0,109.0,213.0,122.0,False,False,True
202684,Tristan Thompson,CLE,203458,Alex Len,ATL,1713,Vince Carter,ATL,1,12:00,0021800036,L,206.0,115.0,213.0,113.0,False,False,True
201588,George Hill,CLE,1627752,Taurean Prince,ATL,203918,Rodney Hood,CLE,1,10:04,0021800036,L,190.0,85.0,201.0,99.0,False,True,False
203458,Alex Len,ATL,202684,Tristan Thompson,CLE,1713,Vince Carter,ATL,1,12:00,0021800036,W,213.0,113.0,206.0,115.0,False,True,False
1627752,Taurean Prince,ATL,201588,George Hill,CLE,203918,Rodney Hood,CLE,1,10:04,0021800036,W,201.0,99.0,190.0,85.0,False,False,True
203500,Steven Adams,OKC,1626161,Willie Cauley-Stein,SAC,202357,Nemanja Bjelica,SAC,1,12:00,0021800037,L,211.0,120.0,213.0,109.0,False,False,True
1626161,Willie Cauley-Stein,SAC,203500,Steven Adams,OKC,202357,Nemanja Bjelica,SAC,1,12:00,0021800037,W,213.0,109.0,211.0,120.0,False,True,False
203999,Nikola Jokic,DEN,1627745,Damian Jones,GSW,203110,Draymond Green,GSW,1,12:00,0021800038,W,213.0,129.0,211.0,111.0,False,False,True
1627745,Damian Jones,GSW,203999,Nikola Jokic,DEN,203110,Draymond Green,GSW,1,12:00,0021800038,L,211.0,111.0,213.0,129.0,False,True,False
101162,Marcin Gortat,LAC,203991,Clint Capela,HOU,201568,Danilo Gallinari,LAC,1,12:00,0021800039,W,,,208.0,109.0,False,True,False
203991,Clint Capela,HOU,101162,Marcin Gortat,LAC,201568,Danilo Gallinari,LAC,1,12:00,0021800039,L,208.0,109.0,,,False,False,True
201143,Al Horford,BOS,202696,Nikola Vucevic,ORL,202330,Gordon Hayward,BOS,1,12:00,0021800040,L,206.0,109.0,211.0,118.0,False,True,False
202696,Nikola Vucevic,ORL,201143,Al Horford,BOS,202330,Gordon Hayward,BOS,1,12:00,0021800040,W,211.0,118.0,206.0,109.0,False,False,True
201586,Serge Ibaka,TOR,203469,Cody Zeller,CHA,200768,Kyle Lowry,TOR,1,12:00,0021800041,W,213.0,107.0,213.0,109.0,False,True,False
202328,Greg Monroe,TOR,202687,Bismack Biyombo,CHA,1626163,Frank Kaminsky,CHA,4,1:38,0021800041,W,211.0,120.0,203.0,116.0,False,False,True
203469,Cody Zeller,CHA,201586,Serge Ibaka,TOR,200768,Kyle Lowry,TOR,1,12:00,0021800041,L,213.0,109.0,213.0,107.0,False,False,True
202687,Bismack Biyombo,CHA,202328,Greg Monroe,TOR,1626163,Frank Kaminsky,CHA,4,1:38,0021800041,L,203.0,116.0,211.0,120.0,False,True,False
201572,Brook Lopez,MIL,202683,Enes Kanter,NYK,203507,Giannis Antetokounmpo,MIL,1,12:00,0021800042,W,213.0,128.0,208.0,113.0,False,True,False
203507,Giannis Antetokounmpo,MIL,203501,Tim Hardaway Jr.,NYK,202339,Eric Bledsoe,MIL,1,9:37,0021800042,W,211.0,110.0,196.0,93.0,False,True,False
203507,Giannis Antetokounmpo,MIL,1628373,Frank Ntilikina,NYK,202339,Eric Bledsoe,MIL,3,10:57,0021800042,W,211.0,110.0,193.0,91.0,False,True,False
202683,Enes Kanter,NYK,201572,Brook Lopez,MIL,203507,Giannis Antetokounmpo,MIL,1,12:00,0021800042,L,208.0,113.0,213.0,128.0,False,False,True
203501,Tim Hardaway Jr.,NYK,203507,Giannis Antetokounmpo,MIL,202339,Eric Bledsoe,MIL,1,9:37,0021800042,L,196.0,93.0,211.0,110.0,False,False,True
1628373,Frank Ntilikina,NYK,203507,Giannis Antetokounmpo,MIL,202339,Eric Bledsoe,MIL,3,10:57,0021800042,L,193.0,91.0,211.0,110.0,False,False,True
1626157,Karl-Anthony Towns,MIN,1626167,Myles Turner,IND,201959,Taj Gibson,MIN,1,12:00,0021800043,W,211.0,112.0,211.0,113.0,False,True,False
1626157,Karl-Anthony Towns,MIN,203506,Victor Oladipo,IND,202710,Jimmy Butler,MIN,3,10:16,0021800043,W,211.0,112.0,193.0,97.0,False,True,False
1626167,Myles Turner,IND,1626157,Karl-Anthony Towns,MIN,201959,Taj Gibson,MIN,1,12:00,0021800043,L,211.0,113.0,211.0,112.0,False,False,True
203506,Victor Oladipo,IND,1626157,Karl-Anthony Towns,MIN,202710,Jimmy Butler,MIN,3,10:16,0021800043,L,193.0,97.0,211.0,112.0,False,False,True
201599,DeAndre Jordan,DAL,1628976,Wendell Carter Jr.,CHI,203200,Justin Holiday,CHI,1,12:00,0021800044,W,211.0,120.0,206.0,122.0,False,False,True
1628976,Wendell Carter Jr.,CHI,201599,DeAndre Jordan,DAL,203200,Justin Holiday,CHI,1,12:00,0021800044,L,206.0,122.0,211.0,120.0,False,True,False
203497,Rudy Gobert,UTA,201188,Marc Gasol,MEM,201937,Ricky Rubio,UTA,1,12:00,0021800045,L,216.0,117.0,211.0,116.0,False,True,False
201188,Marc Gasol,MEM,203497,Rudy Gobert,UTA,201937,Ricky Rubio,UTA,1,12:00,0021800045,W,211.0,116.0,216.0,117.0,False,False,True
203994,Jusuf Nurkic,POR,101133,Ian Mahinmi,WAS,1610612757,,,1,12:00,0021800046,L,213.0,132.0,211.0,119.0,True,False,False
203994,Jusuf Nurkic,POR,1626162,Kelly Oubre Jr.,WAS,203081,Damian Lillard,POR,4,0:16,0021800046,L,213.0,132.0,201.0,92.0,False,True,False
