video_id,channel_id,publish_date,collection_date
XczrJEhzqg0,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-25 07:35:10.000000,2019-12-29 16:13:33.725642
eqUgImNikC8,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-26 06:19:39.000000,2019-12-29 16:13:33.725553
Wj-xg8GOTJQ,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-27 06:39:48.000000,2019-12-29 16:13:33.725463
A9jLXgkmW6k,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-28 05:51:09.000000,2019-12-29 16:13:33.725372
iUx47KO23hw,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-29 06:51:30.000000,2019-12-29 16:13:33.725281
NyfkaOSqkIE,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-30 06:39:23.000000,2019-12-29 16:13:33.725189
SvV0UF0wXMY,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-31 07:01:35.000000,2019-12-29 16:13:33.725093
x5hcx2gjGuQ,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-01 07:33:16.000000,2019-12-29 16:13:33.724979
hNou4K9D1s4,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-02 06:45:04.000000,2019-12-29 16:13:33.289623
axmZZjQjGig,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-03 07:10:58.000000,2019-12-29 16:13:33.289554
OrtpBm7X_fc,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-03 23:30:55.000000,2019-12-29 16:13:33.289488
4h9QjfamHAE,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-05 06:53:38.000000,2019-12-29 16:13:33.289421
wYGScy3dfQI,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-06 07:49:03.000000,2019-12-29 16:13:33.289353
drhD77My0rM,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-07 07:33:00.000000,2019-12-29 16:13:33.289285
QOScfwSOT20,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-08 07:45:51.000000,2019-12-29 16:13:33.289218
g0L4w304Ymo,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-09 06:39:33.000000,2019-12-29 16:13:33.289150
qkE2SDV2NpQ,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-10 06:21:43.000000,2019-12-29 16:13:33.289081
c3f75ZhTMSM,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-11 05:54:36.000000,2019-12-29 16:13:33.289004
-xR0-jmJPzk,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-12 06:05:49.000000,2019-12-29 16:13:33.288872
pCOt86vIjRs,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-13 06:42:56.000000,2019-12-29 16:13:33.288749
g_ITwGetIUc,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-14 07:36:53.000000,2019-12-29 16:13:33.288623
3Ry60ABn-aI,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-15 06:21:40.000000,2019-12-29 16:13:33.288523
uiz6eAv3-hA,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-18 18:00:29.000000,2019-12-29 16:13:33.288421
Z5AV-ZEpBVs,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-18 20:00:20.000000,2019-12-29 16:13:33.288346
L-nL_3z9l7A,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-18 23:00:19.000000,2019-12-29 16:13:33.288260
OxuF-G1l5l0,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-22 07:40:36.000000,2019-12-29 16:13:33.288192
at3YFVF7EyE,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-23 07:27:37.000000,2019-12-29 16:13:33.288125
katEXj_XOws,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-24 06:46:56.000000,2019-12-29 16:13:33.288057
KXHobu3x3rA,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-25 03:47:14.000000,2019-12-29 16:13:33.287989
RKxV2ZFRdjw,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-26 06:44:41.000000,2019-12-29 16:13:33.287919
KMCIYquC2ZY,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-27 07:28:16.000000,2019-12-29 16:13:33.287846
8cftEgsnC6M,UCWJ2lWNubArHWmf3FIHbfcQ,2019-02-28 07:18:45.000000,2019-12-29 16:13:33.287716
Dm7JxdZ-RWo,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-01 07:02:55.000000,2019-12-29 16:13:33.287595
HMggxIr0jFM,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-02 07:32:39.000000,2019-12-29 16:13:33.287494
BpMZ3vZzwgc,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-03 05:55:04.000000,2019-12-29 16:13:33.287384
levqpPHmBbw,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-04 04:13:44.000000,2019-12-29 16:13:33.287257
8kKjBMk781I,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-05 07:00:26.000000,2019-12-29 16:13:33.287041
Ge-JXc4y5cY,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-07 07:16:48.000000,2019-12-29 16:13:33.286856
HCPlTPSKjP0,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-08 08:02:11.000000,2019-12-29 16:13:33.286562
BsQSBgrlAiM,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-09 07:14:59.000000,2019-12-29 16:13:33.286366
lu753QzF9Jo,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-10 06:49:35.000000,2019-12-29 16:13:33.286175
5SWOCx8ebg8,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-11 04:37:12.000000,2019-12-29 16:13:33.285972
g_AxMF085Ew,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-12 06:29:17.000000,2019-12-29 16:13:33.285882
E_uxMrhbNtY,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-13 06:39:49.000000,2019-12-29 16:13:33.285816
FZZjL3sUDME,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-14 06:19:56.000000,2019-12-29 16:13:33.285750
DvImEG9Lk6c,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-15 06:27:27.000000,2019-12-29 16:13:33.285683
J679JYEiDzE,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-16 06:17:09.000000,2019-12-29 16:13:33.285616
fDuH3oD9Hik,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-17 07:02:10.000000,2019-12-29 16:13:33.285548
b26T0qyOowY,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-18 06:03:39.000000,2019-12-29 16:13:33.285480
B0gtZGrEe4Y,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-19 06:05:13.000000,2019-12-29 16:13:33.285413
gwJYIlx09gM,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-20 06:54:46.000000,2019-12-29 16:13:33.285304
RbC_o7kMXTc,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-21 05:45:13.000000,2019-12-29 16:13:33.285236
KqIs7TAT3jw,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-22 06:45:33.000000,2019-12-29 16:13:33.285169
e4kEWrHp21Q,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-23 05:45:16.000000,2019-12-29 16:13:33.285102
J17UUWnuyuM,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-24 05:48:22.000000,2019-12-29 16:13:33.285034
ZS_9ZRIxcMA,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-25 05:25:06.000000,2019-12-29 16:13:33.284965
17k47lYKXqM,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-26 06:27:31.000000,2019-12-29 16:13:33.284895
VQcAHggfSrE,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-27 06:09:54.000000,2019-12-29 16:13:33.284811
Ph4IgurslhU,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-28 06:19:32.000000,2019-12-29 16:13:32.679816
LfUbjAqJoSU,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-29 04:06:38.000000,2019-12-29 16:13:32.679698
J-R9msdJTVk,UCWJ2lWNubArHWmf3FIHbfcQ,2019-03-30 05:49:40.000000,2019-12-29 16:13:32.679582
